method,SC,BC,AQ,IQ,OC,MC,mean,delta_vs_sla,delta_vs_original
Original,0.9501677878201008,0.9285793304443359,0.617031142115593,0.6649756853080091,0.2563952822238207,0.9890846582350388,0.7343723143578164,-0.005632580877826587,0.0
SLA,0.9644059448968619,0.941705322265625,0.6205442100763321,0.6759058771604373,0.24505614303052425,0.992411873984077,0.740004895235643,0.0,0.005632580877826587
SLA + Q 2:4 + HiF4,0.9584108082111925,0.9441829681396484,0.611389122903347,0.6265768187723042,0.24718564003705978,0.9922021150077871,0.7299912455118899,-0.01001364972375307,-0.0043810688459264835
SLA + Q 4:8 pairwise + HiF4,0.9585900815669447,0.9393577575683594,0.6104907542467117,0.6437744320174794,0.24596712365746498,0.9912577080709309,0.7315729761879819,-0.008431919047661052,-0.0027993381698344644
SLA + Q 2:4 share-index=2 + HiF4,0.9501772179733962,0.9460071563720703,0.6029562503099442,0.5921032363397104,0.25042758509516716,0.9919683516270368,0.7222732996195541,-0.017731595616088835,-0.012099014738262248
SLA + K 2:4 + HiF4,0.9582777838222682,0.9509300231933594,0.6182553991675377,0.6294494423454191,0.24687651172280312,0.9927387561185861,0.732754652728329,-0.0072502425073139865,-0.0016176616294873991
SLA + K 4:8 pairwise + HiF4,0.9634622960351408,0.9421340942382812,0.6136405989527702,0.6596975773352163,0.24219689704477787,0.9920908298600474,0.735537048911039,-0.004467846324603952,0.001164734553222635
SLA + K 2:4 share-index=2 + HiF4,0.9563988422974944,0.9468376159667968,0.6145042702555656,0.6189582185980714,0.24744671396911144,0.9927226510906011,0.7294780520296068,-0.01052684320603614,-0.004894262328209553
SLA + K(token) + Q(feature) 2:4 + HiF4,0.9314818388782442,0.9316627502441406,0.5920579321682453,0.654113392300076,0.24246221780776978,0.9891908931557649,0.7234948374257067,-0.016510057809936196,-0.010877476932109609
SLA + K(token) + KV(feature) 2:4 + HiF4,0.9413816594518721,0.9298728942871094,0.6151454746723175,0.6709457551108468,0.24412419274449348,0.9903355224033153,0.7319675831116591,-0.008037312123983842,-0.0024047312461572545
SLA + V(token) + Q(feature) 2:4 + HiF4,0.9274620781186969,0.9267597198486328,0.5931680165231228,0.6530581883442256,0.24136051163077354,0.9891193281939692,0.7218213071099034,-0.018183588125739503,-0.012551007247912915
SLA + V(token) + KV(feature) 2:4 + HiF4,0.9579917965922504,0.9374011993408203,0.617185965180397,0.6783347972822779,0.24487641267478466,0.9922502643216755,0.7380067392320343,-0.001998156003608642,0.0036344248742179452
SLA + Rubin triple 2:4 + HiF4,0.9578242157585919,0.95023193359375,0.6222605556249619,0.6540888972341279,0.2458244152367115,0.9914295234453012,0.7369432568155742,-0.0030616384200687907,0.0025709424577577966
